district_code,district_name,housing_type,area_basis,front_area_bucket,market_area_bucket,market_area_label,contract_count,deposit_q25_manwon,deposit_median_manwon,deposit_q75_manwon,deposit_min_manwon,deposit_max_manwon,latest_contract_date,first_contract_date,represented_month_count,recent_3m_count,recent_6m_count,contract_scope,data_start_date,data_end_date,recommended_contract_scope,total_contract_count,new_contract_count,renewal_contract_count,unknown_contract_count,new_unknown_contract_count,pre_completion_contract_count,confidence,new_contract_rate,recent_3m_rate,recent_6m_rate,is_recommendation_usable,transaction_type
11110,종로구,apartment,exclusive_area,over_40,40_60,40㎡ 초과~60㎡,118,33000.0,42000.0,60450.0,10000.0,109000.0,2026-06-14,2025-07-05,12,29,55,new,2025-07-01,2026-06-30,new,217,118,87,12,130,0,high,0.543778801843318,0.2457627118644068,0.4661016949152542,True,jeonse
11110,종로구,apartment,exclusive_area,over_40,60_85,60㎡ 초과~85㎡,234,55000.0,75000.0,110000.0,14000.0,135000.0,2026-06-30,2025-07-01,12,44,102,new,2025-07-01,2026-06-30,new,421,234,180,7,241,0,high,0.5558194774346793,0.18803418803418803,0.4358974358974359,True,jeonse
11110,종로구,apartment,exclusive_area,over_40,over_85,85㎡ 초과,106,70000.0,95000.0,130000.0,27000.0,230000.0,2026-06-27,2025-07-02,12,25,50,new,2025-07-01,2026-06-30,new,185,106,79,0,106,0,high,0.572972972972973,0.2358490566037736,0.4716981132075472,True,jeonse
11110,종로구,officetel,exclusive_area,20_30,20_30,20㎡ 초과~30㎡,150,20100.0,23000.0,26000.0,9500.0,33000.0,2026-06-29,2025-07-02,12,32,77,new,2025-07-01,2026-06-30,new,207,150,57,0,150,0,high,0.7246376811594203,0.21333333333333335,0.5133333333333333,True,jeonse
11110,종로구,officetel,exclusive_area,30_40,30_40,30㎡ 초과~40㎡,62,23125.0,25000.0,32375.0,11000.0,55000.0,2026-06-18,2025-07-03,12,16,35,new,2025-07-01,2026-06-30,new,78,62,14,2,64,0,medium,0.7948717948717948,0.25806451612903225,0.5645161290322581,True,jeonse
11110,종로구,officetel,exclusive_area,over_40,40_60,40㎡ 초과~60㎡,32,29675.0,37500.0,40000.0,15000.0,53000.0,2026-06-24,2025-07-04,10,9,14,new,2025-07-01,2026-06-30,new,38,32,5,1,33,0,medium,0.8421052631578947,0.28125,0.4375,True,jeonse
11110,종로구,officetel,exclusive_area,under_20,under_20,20㎡ 이하,94,16177.5,18750.0,22500.0,5000.0,25000.0,2026-06-27,2025-07-02,12,26,52,new,2025-07-01,2026-06-30,new,122,94,28,0,94,0,medium,0.7704918032786885,0.2765957446808511,0.5531914893617021,True,jeonse
11110,종로구,row_house,exclusive_area,20_30,20_30,20㎡ 초과~30㎡,68,9400.0,13850.0,25000.0,3000.0,30000.0,2026-06-27,2025-07-12,10,21,38,new,2025-07-01,2026-06-30,new,94,68,24,2,70,0,medium,0.723404255319149,0.3088235294117647,0.5588235294117647,True,jeonse
11110,종로구,row_house,exclusive_area,30_40,30_40,30㎡ 초과~40㎡,66,12000.0,17500.0,25900.0,7875.0,45000.0,2026-06-09,2025-08-01,11,12,37,new,2025-07-01,2026-06-30,new,96,66,30,0,66,0,medium,0.6875,0.18181818181818182,0.5606060606060606,True,jeonse
11110,종로구,row_house,exclusive_area,over_40,40_60,40㎡ 초과~60㎡,184,16000.0,22500.0,30000.0,500.0,52000.0,2026-06-23,2025-07-07,12,43,86,new,2025-07-01,2026-06-30,new,272,184,85,3,187,0,high,0.6764705882352942,0.23369565217391305,0.4673913043478261,True,jeonse
11110,종로구,row_house,exclusive_area,over_40,60_85,60㎡ 초과~85㎡,118,30000.0,40000.0,50000.0,16000.0,83000.0,2026-06-26,2025-07-01,12,27,51,new,2025-07-01,2026-06-30,new,164,118,42,4,122,0,high,0.7195121951219512,0.2288135593220339,0.4322033898305085,True,jeonse
11110,종로구,row_house,exclusive_area,over_40,over_85,85㎡ 초과,51,40000.0,52000.0,75000.0,25000.0,165000.0,2026-06-30,2025-07-02,12,15,23,new,2025-07-01,2026-06-30,new,73,51,21,1,52,0,medium,0.6986301369863014,0.29411764705882354,0.45098039215686275,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,20_30,20_30,20㎡ 초과~30㎡,55,8575.0,11000.0,15000.0,2000.0,26000.0,2026-05-30,2025-07-19,11,10,23,new,2025-07-01,2026-06-30,new,75,55,17,3,58,0,medium,0.7333333333333333,0.18181818181818182,0.41818181818181815,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,30_40,30_40,30㎡ 초과~40㎡,47,9250.0,13000.0,16500.0,500.0,32000.0,2026-06-24,2025-07-18,12,12,26,new,2025-07-01,2026-06-30,new,69,47,19,3,50,0,medium,0.6811594202898551,0.2553191489361702,0.5531914893617021,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,over_40,40_60,40㎡ 초과~60㎡,84,15000.0,19750.0,25000.0,5000.0,35000.0,2026-06-26,2025-07-02,12,17,34,new,2025-07-01,2026-06-30,new,114,84,29,1,85,0,medium,0.7368421052631579,0.20238095238095238,0.40476190476190477,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,over_40,60_85,60㎡ 초과~85㎡,38,15750.0,24000.0,34075.0,10000.0,55000.0,2026-06-03,2025-08-19,11,7,22,new,2025-07-01,2026-06-30,new,66,38,24,4,42,0,medium,0.5757575757575758,0.18421052631578946,0.5789473684210527,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,over_40,over_85,85㎡ 초과,41,16000.0,33000.0,50000.0,6000.0,130000.0,2026-06-12,2025-07-03,12,10,20,new,2025-07-01,2026-06-30,new,54,41,11,2,43,0,medium,0.7592592592592593,0.24390243902439024,0.4878048780487805,True,jeonse
11110,종로구,single_multi_house,single_multi_reported_area,under_20,under_20,20㎡ 이하,38,6175.0,10000.0,12000.0,500.0,17000.0,2026-06-26,2025-07-04,11,10,19,new,2025-07-01,2026-06-30,new,47,38,9,0,38,0,medium,0.8085106382978723,0.2631578947368421,0.5,True,jeonse
11140,중구,apartment,exclusive_area,20_30,20_30,20㎡ 초과~30㎡,72,24875.0,30000.0,35000.0,18500.0,49000.0,2026-06-26,2025-07-12,12,18,45,new,2025-07-01,2026-06-30,new,117,72,42,3,75,0,medium,0.6153846153846154,0.25,0.625,True,jeonse
11140,중구,apartment,exclusive_area,over_40,40_60,40㎡ 초과~60㎡,276,52000.0,58000.0,65000.0,15700.0,95000.0,2026-06-30,2025-07-01,12,58,121,new,2025-07-01,2026-06-30,new,585,276,275,34,310,0,high,0.4717948717948718,0.21014492753623187,0.4384057971014493,True,jeonse
11140,중구,apartment,exclusive_area,over_40,60_85,60㎡ 초과~85㎡,332,65000.0,73500.0,81225.0,27000.0,120000.0,2026-06-22,2025-07-02,12,41,128,new,2025-07-01,2026-06-30,new,653,332,303,18,350,0,high,0.5084226646248086,0.12349397590361445,0.3855421686746988,True,jeonse
11140,중구,apartment,exclusive_area,over_40,over_85,85㎡ 초과,144,78000.0,85000.0,100750.0,25000.0,450000.0,2026-06-22,2025-07-01,12,18,51,new,2025-07-01,2026-06-30,new,279,144,130,5,149,0,high,0.5161290322580645,0.125,0.3541666666666667,True,jeonse
